text,emotion
I feel wonderful,joy
It feels rude,anger
I am so missing today,sadness
She seems down,sadness
I am so amazing today,joy
I was unsafe,fear
It feels scared,fear
This makes me worried,fear
She seems rage,anger
She seems trembling,fear
Everything feels fast,surprise
He looks shout,anger
I am so oh today,surprise
He looks lonely,sadness
She seems anxious,fear
That’s sick,disgust
I am so simple today,neutral
I feel unhappy,sadness
He looks unexpected,surprise
He looks unsafe,fear
I feel suddenly,surprise
Life is fast,surprise
This makes me love,joy
He looks usual,neutral
I feel awful,disgust
It feels slow,calm
Life is chill,calm
She seems balanced,calm
Life is hate,anger
That’s ugly,disgust
He looks simple,neutral
He looks dirty,disgust
That’s average,neutral
This makes me fine,calm
It feels smile,joy
Everything feels peaceful,calm
This makes me amazing,joy
She seems afraid,fear
Life is cry,sadness
That’s nasty,disgust
That’s wow,surprise
He looks anxious,fear
He looks really,surprise
I am so smile today,joy
That’s suddenly,surprise
I am so unsafe today,fear
I feel rude,anger
I was plain,neutral
I was grateful,joy
She seems really,surprise
He looks angry,anger
It feels fearful,fear
I feel unsafe,fear
This makes me amazing,surprise
I am so regular today,neutral
I feel unbelievable,surprise
It feels sad,sadness
I was unhappy,sadness
I am so down today,sadness
This makes me funny,joy
Everything feels nervous,fear
He looks lonely,sadness
I feel smile,joy
Life is plain,neutral
Life is nothing,neutral
It feels rage,anger
I feel normal,neutral
That’s angry,anger
Life is amazing,surprise
I was sad,sadness
It feels astonishing,surprise
I am so funny today,joy
I was unexpected,surprise
This makes me sick,disgust
I was plain,neutral
That’s anxious,fear
She seems okay,neutral
She seems standard,neutral
She seems anxious,fear
She seems oh,surprise
That’s aggressive,anger
I feel awful,disgust
She seems sick,disgust
I am so fearful today,fear
She seems unexpected,surprise
Life is regular,neutral
It feels normal,calm
This makes me cry,sadness
It feels missing,sadness
I am so stinky today,disgust
This makes me gross,disgust
I feel suddenly,surprise
I feel usual,neutral
I feel fine,calm
I feel great,joy
I was chill,calm
It feels nasty,disgust
I feel excited,joy
I am so standard today,neutral
That’s sick,disgust
This makes me smile,joy
Life is unexpected,surprise
I feel average,neutral
That’s sad,sadness
That’s stinky,disgust
This makes me stinky,disgust
He looks quiet,calm
That’s smile,joy
I feel unbelievable,surprise
Everything feels unexpected,surprise
Everything feels sick,disgust
It feels unbelievable,surprise
This makes me happy,joy
This makes me balanced,calm
That’s simple,neutral
It feels rage,anger
He looks amazing,surprise
I am so nervous today,fear
It feels sick,disgust
I am so rotten today,disgust
I was annoyed,anger
Everything feels irritated,anger
This makes me unsafe,fear
She seems amazing,joy
I was standard,neutral
I feel standard,neutral
I was rude,anger
I was regular,neutral
I was rotten,disgust
It feels terrified,fear
This makes me grateful,joy
She seems aggressive,anger
He looks angry,anger
He looks great,joy
I was really,surprise
It feels astonishing,surprise
This makes me angry,anger
Everything feels funny,joy
He looks excited,joy
I was fine,calm
I feel usual,neutral
I am so heartbroken today,sadness
I feel slow,calm
He looks irritated,anger
Everything feels heartbroken,sadness
I feel hopeless,sadness
I was grateful,joy
I am so amazing today,joy
I feel wonderful,joy
It feels angry,anger
I am so nothing today,neutral
This makes me irritated,anger
Everything feels great,joy
I feel cry,sadness
That’s excited,joy
Life is usual,neutral
I was smile,joy
She seems normal,neutral
This makes me smile,joy
Life is disgusting,disgust
I feel fine,calm
I am so fine today,calm
He looks fearful,fear
I am so rotten today,disgust
That’s love,joy
This makes me sick,disgust
He looks shocked,fear
This makes me hopeless,sadness
That’s great,joy
I was usual,neutral
I am so peaceful today,calm
This makes me painful,sadness
This makes me sick,disgust
I feel okay,neutral
Everything feels smile,joy
I was painful,sadness
She seems funny,joy
It feels steady,calm
This makes me dirty,disgust
I was afraid,fear
I was aggressive,anger
That’s angry,anger
Life is grateful,joy
This makes me unhappy,sadness
He looks plain,neutral
It feels steady,calm
He looks normal,calm
This makes me anxious,fear
She seems amazing,joy
She seems unhappy,sadness
I was normal,calm
Everything feels unhappy,sadness
Life is fine,neutral
I was really,surprise
That’s chill,calm
Life is trembling,fear
She seems fearful,fear
Everything feels suddenly,surprise
I was slow,calm
I am so cry today,sadness
Everything feels mad,anger
It feels normal,calm
I feel painful,sadness
It feels heartbroken,sadness
It feels terrible,disgust
I feel normal,neutral
Life is normal,calm
I feel happy,joy
Everything feels irritated,anger
I feel hopeless,sadness
It feels afraid,fear
Everything feels astonishing,surprise
I was wow,surprise
Life is balanced,calm
Life is nervous,fear
She seems normal,calm
Life is angry,anger
That’s lonely,sadness
I feel quiet,calm
That’s aggressive,anger
That’s gross,disgust
He looks simple,neutral
I am so fine today,neutral
This makes me rude,anger
It feels missing,sadness
He looks beautiful,joy
I am so nasty today,disgust
It feels shout,anger
That’s afraid,fear
I was love,joy
That’s nothing,neutral
Everything feels unbelievable,surprise
This makes me unhappy,sadness
He looks excited,joy
He looks really,surprise
This makes me suddenly,surprise
That’s scared,fear
He looks smile,joy
It feels grateful,joy
That’s rude,anger
Everything feels ugly,disgust
She seems terrible,disgust
I feel painful,sadness
She seems nothing,neutral
I feel love,joy
I am so okay today,calm
Everything feels fast,surprise
He looks normal,neutral
He looks hurt,sadness
Everything feels funny,joy
She seems slow,calm
Everything feels average,neutral
I feel rude,anger
I feel rage,anger
It feels disgusting,disgust
He looks nothing,neutral
That’s love,joy
I was oh,surprise
It feels funny,joy
I was sad,sadness
Everything feels plain,neutral
Everything feels standard,neutral
He looks normal,neutral
Everything feels fast,surprise
Life is angry,anger
It feels terrified,fear
Everything feels love,joy
I was angry,anger
Life is nasty,disgust
Life is lonely,sadness
Everything feels balanced,calm
Life is shocked,fear
It feels annoyed,anger
This makes me ugly,disgust
That’s fine,neutral
I am so aggressive today,anger
I was fine,neutral
I am so peaceful today,calm
This makes me down,sadness
That’s nothing,neutral
He looks nervous,fear
He looks rage,anger
She seems oh,surprise
She seems okay,calm
This makes me fearful,fear
She seems furious,anger
This makes me lonely,sadness
Everything feels amazing,joy
That’s love,joy
Everything feels chill,calm
Life is gross,disgust
This makes me simple,neutral
I feel trembling,fear
It feels rotten,disgust
She seems lonely,sadness
This makes me shout,anger
It feels worried,fear
She seems ugly,disgust
That’s unhappy,sadness
That’s okay,neutral
Life is peaceful,calm
It feels shout,anger
I feel happy,joy
He looks oh,surprise
I feel normal,calm
That’s great,joy
I am so fast today,surprise
I feel disgusting,disgust
It feels unbelievable,surprise
I am so okay today,neutral
It feels amazing,surprise
That’s unexpected,surprise
I was terrified,fear
Life is unhappy,sadness
Everything feels great,joy
Everything feels sad,sadness
This makes me afraid,fear
This makes me usual,neutral
I was simple,neutral
Everything feels awful,disgust
That’s worried,fear
That’s irritated,anger
I feel cry,sadness
This makes me angry,anger
Everything feels regular,neutral
Life is funny,joy
This makes me sad,sadness
It feels peaceful,calm
That’s plain,neutral
It feels fine,calm
Everything feels furious,anger
Everything feels relaxed,calm
I am so great today,joy
Life is nervous,fear
This makes me excited,joy
Life is wonderful,joy
Life is balanced,calm
Life is suddenly,surprise
That’s unsafe,fear
I feel standard,neutral
I was grateful,joy
It feels smile,joy
She seems happy,joy
I was irritated,anger
Life is unhappy,sadness
He looks shocked,fear
That’s love,joy
This makes me hopeless,sadness
She seems aggressive,anger
She seems fast,surprise
She seems usual,neutral
I was quiet,calm
I was happy,joy
He looks suddenly,surprise
It feels missing,sadness
Life is relaxed,calm
She seems funny,joy
Life is normal,calm
Everything feels amazing,joy
He looks cry,sadness
She seems trembling,fear
I was sad,sadness
I am so regular today,neutral
It feels sad,sadness
It feels standard,neutral
Everything feels shout,anger
She seems annoyed,anger
She seems normal,neutral
This makes me terrible,disgust
I am so steady today,calm
This makes me wonderful,joy
She seems great,joy
It feels rude,anger
Everything feels normal,neutral
He looks plain,neutral
I feel slow,calm
She seems painful,sadness
This makes me shout,anger
This makes me regular,neutral
Everything feels disgusting,disgust
I feel chill,calm
He looks hopeless,sadness
I was grateful,joy
It feels afraid,fear
That’s awful,disgust
I am so okay today,neutral
I feel okay,neutral
That’s shout,anger
Everything feels fearful,fear
Everything feels really,surprise
I feel unexpected,surprise
This makes me lonely,sadness
That’s heartbroken,sadness
This makes me missing,sadness
Life is funny,joy
This makes me quiet,calm
I am so shout today,anger
That’s unbelievable,surprise
He looks stinky,disgust
She seems fearful,fear
That’s furious,anger
She seems smile,joy
She seems funny,joy
Life is slow,calm
I was unsafe,fear
I was fast,surprise
I am so unsafe today,fear
I was unbelievable,surprise
Life is steady,calm
He looks cry,sadness
I feel mad,anger
Life is hopeless,sadness
She seems lonely,sadness
That’s unbelievable,surprise
That’s unbelievable,surprise
I was balanced,calm
That’s stinky,disgust
He looks rage,anger
Life is irritated,anger
Life is terrified,fear
This makes me beautiful,joy
She seems fine,neutral
This makes me sick,disgust
I was furious,anger
That’s chill,calm
I feel oh,surprise
It feels amazing,joy
It feels mad,anger
That’s relaxed,calm
He looks shocked,fear
Life is fine,calm
I feel nasty,disgust
I feel okay,calm
This makes me slow,calm
That’s ugly,disgust
Everything feels unexpected,surprise
That’s cry,sadness
This makes me awful,disgust
She seems slow,calm
Life is normal,neutral
It feels anxious,fear
Life is amazing,surprise
I am so okay today,neutral
She seems grateful,joy
Everything feels dirty,disgust
She seems fast,surprise
I am so shocked today,fear
He looks astonishing,surprise
I was scared,fear
I was missing,sadness
He looks wow,surprise
This makes me amazing,surprise
It feels amazing,surprise
I was suddenly,surprise
I was anxious,fear
That’s really,surprise
She seems love,joy
I was excited,joy
This makes me peaceful,calm
I was sad,sadness
I feel fine,neutral
I was unhappy,sadness
This makes me normal,calm
I was unsafe,fear
He looks amazing,joy
Everything feels lonely,sadness
He looks ugly,disgust
Everything feels suddenly,surprise
She seems okay,neutral
He looks plain,neutral
Everything feels cry,sadness
I was shocking,surprise
Life is balanced,calm
Everything feels angry,anger
It feels painful,sadness
Life is relaxed,calm
I am so slow today,calm
I feel angry,anger
I was quiet,calm
It feels simple,neutral
Everything feels fearful,fear
That’s nervous,fear
She seems slow,calm
I feel wow,surprise
It feels stinky,disgust
She seems fine,neutral
I was hurt,sadness
Everything feels terrified,fear
This makes me shocked,fear
Everything feels plain,neutral
That’s missing,sadness
He looks great,joy
I feel painful,sadness
I am so happy today,joy
Everything feels wonderful,joy
She seems shout,anger
Life is shocked,fear
I feel simple,neutral
This makes me unsafe,fear
Everything feels normal,neutral
It feels fearful,fear
He looks slow,calm
Life is aggressive,anger
He looks wonderful,joy
Everything feels irritated,anger
Life is wonderful,joy
She seems rage,anger
I feel nervous,fear
Everything feels nasty,disgust
He looks nothing,neutral
She seems love,joy
Everything feels cry,sadness
I am so beautiful today,joy
Life is okay,neutral
It feels shocked,fear
I was dirty,disgust
I am so fine today,calm
Everything feels cry,sadness
I was heartbroken,sadness
I am so amazing today,joy
This makes me peaceful,calm
Everything feels excited,joy
That’s nervous,fear
I was hopeless,sadness
This makes me funny,joy
I feel simple,neutral
Everything feels unsafe,fear
She seems ugly,disgust
I was excited,joy
This makes me painful,sadness
That’s slow,calm
Life is shocking,surprise
It feels smile,joy
I feel annoyed,anger
He looks amazing,joy
I am so awful today,disgust
Life is missing,sadness
He looks rotten,disgust
This makes me sick,disgust
It feels heartbroken,sadness
She seems ugly,disgust
Everything feels amazing,surprise
I am so hopeless today,sadness
I was cry,sadness
This makes me beautiful,joy
Life is scared,fear
Everything feels lonely,sadness
Everything feels annoyed,anger
I was angry,anger
This makes me simple,neutral
Everything feels okay,calm
This makes me terrified,fear
I am so okay today,calm
Everything feels fast,surprise
He looks amazing,joy
Everything feels awful,disgust
He looks terrible,disgust
I was slow,calm
This makes me angry,anger
It feels rotten,disgust
She seems sad,sadness
It feels down,sadness
That’s shocked,fear
That’s quiet,calm
It feels lonely,sadness
Everything feels cry,sadness
That’s nervous,fear
This makes me unhappy,sadness
This makes me gross,disgust
Life is fast,surprise
It feels astonishing,surprise
Life is stinky,disgust
I feel ugly,disgust
He looks plain,neutral
I feel regular,neutral
I feel plain,neutral
Life is shocked,fear
I was nothing,neutral
Life is plain,neutral
She seems rage,anger
Everything feels chill,calm
He looks down,sadness
I was painful,sadness
She seems unsafe,fear
Life is regular,neutral
He looks lonely,sadness
I am so hate today,anger
I was chill,calm
Everything feels chill,calm
Life is furious,anger
This makes me plain,neutral
Everything feels wonderful,joy
That’s balanced,calm
This makes me hate,anger
She seems awful,disgust
He looks ugly,disgust
This makes me sick,disgust
I feel fine,calm
Life is beautiful,joy
Everything feels smile,joy
Everything feels steady,calm
I feel love,joy
This makes me balanced,calm
It feels usual,neutral
I feel unhappy,sadness
I was dirty,disgust
He looks nothing,neutral
That’s terrible,disgust
Life is irritated,anger
I was smile,joy
He looks amazing,surprise
I am so chill today,calm
It feels terrified,fear
It feels great,joy
She seems usual,neutral
Life is fine,calm
This makes me shout,anger
He looks wonderful,joy
I feel slow,calm
This makes me suddenly,surprise
Everything feels unexpected,surprise
She seems okay,calm
I was aggressive,anger
She seems nasty,disgust
She seems ugly,disgust
It feels annoyed,anger
This makes me regular,neutral
She seems wow,surprise
I was smile,joy
This makes me sad,sadness
I feel down,sadness
I am so okay today,calm
I was scared,fear
Everything feels ugly,disgust
It feels scared,fear
This makes me trembling,fear
It feels dirty,disgust
It feels astonishing,surprise
Life is dirty,disgust
That’s average,neutral
I was cry,sadness
Life is afraid,fear
She seems steady,calm
This makes me grateful,joy
He looks regular,neutral
This makes me mad,anger
I feel normal,neutral
I feel normal,neutral
This makes me usual,neutral
I feel rage,anger
I feel normal,calm
She seems fine,calm
I am so usual today,neutral
I was smile,joy
Everything feels missing,sadness
I am so dirty today,disgust
I am so really today,surprise
That’s anxious,fear
Life is sick,disgust
This makes me hurt,sadness
Life is amazing,surprise
I was quiet,calm
It feels normal,neutral
I am so normal today,calm
That’s great,joy
Everything feels unsafe,fear
She seems quiet,calm
Life is gross,disgust
I was stinky,disgust
Everything feels great,joy
I feel missing,sadness
I feel steady,calm
I was unbelievable,surprise
That’s hurt,sadness
I feel awful,disgust
I am so excited today,joy
I was painful,sadness
I am so sad today,sadness
She seems really,surprise
I feel furious,anger
He looks furious,anger
I feel furious,anger
This makes me furious,anger
I was furious,anger
